,Date,Last Px,Vol,SMAVG
Th,1/22/2009,56.87,19.149M,17.386M
We,1/21/2009,56.36,22.313M,16.835M
Tu,1/20/2009,56.75,23.154M,16.005M
,,,,
Fr,1/16/2009,57.44,20.748M,14.744M
Th,1/15/2009,57.62,20.384M,13.604M
We,1/14/2009,57.95,16.708M,12.949M
Tu,1/13/2009,58.84,15.513M,12.779M
Mo,1/12/2009,58.34,15.254M,13.287M
,,,,
Fr,1/9/2009,59.05,14.699M,13.531M
Th,1/8/2009,59.02,17.346M,13.607M
We,1/7/2009,59.13,14.314M,13.645M
Tu,1/6/2009,59.69,22.102M,13.557M
Mo,1/5/2009,60.05,15.544M,13.067M
,,,,
Fr,1/2/2009,60.65,11.643M,13.098M
We,12/31/2008,59.83,11.921M,13.197M
Tu,12/30/2008,59.17,10.881M,13.321M
Mo,12/29/2008,58.15,9.86M,13.686M
,,,,
Fr,12/26/2008,58.56,4.249M,14.137M
We,12/24/2008,58.56,3.639M,14.99M
Tu,12/23/2008,58.68,10.56M,16.002M
Mo,12/22/2008,58.93,14.157M,16.37M
,,,,
Fr,12/19/2008,58.84,23.132M,16.686M
Th,12/18/2008,58.99,18.92M,15.657M
We,12/17/2008,58.78,15.838M,15.629M
Tu,12/16/2008,59.6,17.92M,16.001M
Mo,12/15/2008,57.81,12.984M,16.174M
,,,,
Fr,12/12/2008,57.25,14.752M,17.362M
Th,12/11/2008,58.25,16.01M,18.448M
We,12/10/2008,57.8,13.133M,19.216M
Tu,12/9/2008,57.81,13.779M,19.754M
Mo,12/8/2008,58.77,16.361M,19.94M
,,,,
Fr,12/5/2008,58.23,16.615M,20.321M
Th,12/4/2008,56.18,17.054M,21.033M
We,12/3/2008,57.32,18.808M,21.122M
Tu,12/2/2008,56.83,16.081M,20.828M
Mo,12/1/2008,55.33,18.903M,20.634M
,,,,
Fr,11/28/2008,58.58,7.69M,20.457M
We,11/26/2008,58.27,18.508M,21.471M
Tu,11/25/2008,58.7,21.417M,21.555M
Mo,11/24/2008,59.11,20.509M,21.104M
,,,,
Fr,11/21/2008,58.35,30.802M,20.526M
Th,11/20/2008,55.81,31.047M,19.792M
We,11/19/2008,58.12,27.537M,19.297M
Tu,11/18/2008,60.89,21.2M,19.396M
Mo,11/17/2008,59.27,16.572M,19.817M
,,,,
Fr,11/14/2008,60.05,22.065M,20.117M
Th,11/13/2008,62.9,27.305M,20.188M
We,11/12/2008,57.92,18.385M,19.934M
Tu,11/11/2008,59.55,14.394M,20.263M
Mo,11/10/2008,60.01,13.178M,20.24M
,,,,
Fr,11/7/2008,60.22,16.246M,20.564M
Th,11/6/2008,57.92,22.901M,21.164M
We,11/5/2008,59.85,19.761M,21.944M
Tu,11/4/2008,61.89,14.657M,22.298M
Mo,11/3/2008,61.16,11.847M,23.916M
,,,,
Fr,10/31/2008,61.34,19.785M,25.295M
Th,10/30/2008,60.57,23.63M,27.316M
We,10/29/2008,61.53,29.02M,27.974M
Tu,10/28/2008,64.19,27.509M,28.566M
Mo,10/27/2008,60.15,21.071M,28.344M
,,,,
Fr,10/24/2008,60.79,23.133M,29.171M
Th,10/23/2008,62.45,23.492M,29.325M
We,10/22/2008,61.42,23.325M,29.819M
Tu,10/21/2008,63.66,14.043M,29.967M
Mo,10/20/2008,64.44,18.035M,30.339M
,,,,
Fr,10/17/2008,62.65,25.254M,30.854M
Th,10/16/2008,63.5,34.604M,30.043M
We,10/15/2008,60.54,25.066M,28.707M
Tu,10/14/2008,64,38.92M,27.868M
Mo,10/13/2008,62.68,32.539M,26.182M
,,,,
Fr,10/10/2008,55.85,50.095M,25.084M
Th,10/9/2008,57.58,33.497M,23.574M
We,10/8/2008,62.36,37.911M,23.293M
Tu,10/7/2008,62.49,24.173M,22.377M
Mo,10/6/2008,64.5,33.472M,22.321M
,,,,
Fr,10/3/2008,66.16,25.448M,21.489M
Th,10/2/2008,67.79,30.898M,20.802M
We,10/1/2008,67.79,25.553M,19.79M
Tu,9/30/2008,69.28,19.624M,18.928M
Mo,9/29/2008,66.9,25.75M,18.889M
,,,,
Fr,9/26/2008,69.4,13.087M,18.188M
Th,9/25/2008,69.36,14.578M,18.032M
We,9/24/2008,68.19,12.471M,17.972M
Tu,9/23/2008,68.15,13.636M,17.797M
Mo,9/22/2008,68.41,16.068M,17.896M
,,,,
Fr,9/19/2008,69.99,27.446M,17.516M
Th,9/18/2008,70.93,29.283M,16.229M
We,9/17/2008,69.51,24.167M,14.837M
Tu,9/16/2008,69.8,23.336M,13.655M
Mo,9/15/2008,69.61,20.987M,12.647M
,,,,
Fr,9/12/2008,70.59,15.141M,11.762M
Th,9/11/2008,71.16,15.726M,11.275M
We,9/10/2008,71.23,12.614M,10.912M
Tu,9/9/2008,71.34,19.05M,10.68M
Mo,9/8/2008,72.22,15.227M,10.066M
,,,,
Fr,9/5/2008,70.67,10.748M,9.771M
Th,9/4/2008,70.45,13.676M,9.685M
We,9/3/2008,71.51,9.844M,9.48M
Tu,9/2/2008,71.73,15.123M,9.403M
,,,,
Fr,8/29/2008,70.43,10.368M,9.077M
Th,8/28/2008,71.41,8.148M,
We,8/27/2008,71.21,8.399M,
Tu,8/26/2008,70.71,6.441M,
Mo,8/25/2008,70.8,8.205M,
,,,,
Fr,8/22/2008,71.42,7.718M,
Th,8/21/2008,71.28,7.84M,
We,8/20/2008,71.08,10.278M,
Tu,8/19/2008,71.15,9.134M,
Mo,8/18/2008,71.09,9.846M,
,,,,
Fr,8/15/2008,71.33,10.791M,
Th,8/14/2008,71.19,9.459M,
We,8/13/2008,71.2,10.601M,
Tu,8/12/2008,71.7,8.697M,
Mo,8/11/2008,71.66,10.232M,
