Date,Last Px,Vol,SMAVG (15)
5/22/2009,54.77,59.9M,79.095M
5/15/2009,55.41,64.29M,79.221M
5/8/2009,54.98,73.33M,80.233M
5/1/2009,52.59,76.15M,81.075M
,,,
4/24/2009,50.92,70.26M,81.905M
4/17/2009,53.05,74.26M,82.821M
4/10/2009,51.41,51.9M,80.825M
4/3/2009,52.15,80.63M,79.539M
,,,
3/27/2009,52.83,77.62M,80.083M
3/20/2009,51.67,97.19M,79.844M
3/13/2009,50.64,94.61M,79.195M
3/6/2009,47.97,119.7M,77.429M
,,,
2/27/2009,50,111.54M,77.927M
2/20/2009,54.65,67.39M,76.846M
2/13/2009,57.1,67.65M,78.047M
2/6/2009,58.51,61.8M,81.605M
,,,
1/30/2009,57.69,79.47M,84.287M
1/23/2009,55.97,85.95M,89.414M
1/16/2009,57.44,88.61M,95.627M
1/9/2009,59.05,84M,98.205M
1/2/2009,60.65,44.31M,97.261M
,,,
12/26/2008,58.56,32.61M,102.655M
12/19/2008,58.84,88.79M,105.665M
12/12/2008,57.25,74.04M,103.038M
12/5/2008,58.23,87.46M,100.873M
,,,
11/28/2008,58.58,68.12M,98.03M
11/21/2008,58.35,127.16M,96.807M
11/14/2008,60.05,95.33M,93.587M
11/7/2008,60.22,85.41M,91.179M
,,,
10/31/2008,61.34,121.01M,89.761M
10/24/2008,60.79,102.03M,87.115M
10/17/2008,62.65,156.38M,85.51M
10/10/2008,55.85,179.15M,78.257M
10/3/2008,66.16,127.27M,70.399M
,,,
9/26/2008,69.4,69.84M,65.491M
9/19/2008,69.99,125.22M,64.031M
9/12/2008,70.59,77.76M,59.223M
9/5/2008,70.67,49.39M,57.199M
,,,
8/29/2008,70.43,41.56M,57.342M
8/22/2008,71.42,44.82M,
8/15/2008,71.33,49.78M,
8/8/2008,71.55,78.86M,
8/1/2008,68.1,59.2M,
,,,
7/25/2008,69.03,64.14M,
7/18/2008,67.82,81.32M,
7/11/2008,66.26,77.96M,
7/4/2008,65.12,47.59M,
,,,
6/27/2008,63.57,61.27M,
6/20/2008,64.06,53.66M,
6/13/2008,66.27,47.94M,
6/6/2008,65.76,53.1M,
,,,
5/30/2008,66.74,47.4M,
5/23/2008,64.92,51.53M,
